system,split,parameter_name,parameter_value,default_threshold,precision,recall,f1,tp,fp,fn,tn,num_positive_edges,num_negative_edges,num_candidate_edges,graphs_evaluated,max_nodes,target_graphs,parent_temperature,weights_path,data_path
SN,normal,edge_threshold,0.7,0.6,0.82527457,0.99827467,0.90356836,5786,1225,10,68228,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.71,0.6,0.82751716,0.99827467,0.90491085,5786,1206,10,68247,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.72,0.6,0.82891532,0.99810214,0.90567515,5785,1194,11,68259,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.73,0.6,0.83041356,0.99775707,0.90642633,5783,1181,13,68272,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.74,0.6,0.8332132,0.99723948,0.90787717,5780,1157,16,68296,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.75,0.6,0.83642154,0.99689441,0.90963476,5778,1130,18,68323,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.76,0.6,0.83855981,0.99654934,0.91075371,5776,1112,20,68341,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.77,0.6,0.84103162,0.99585921,0.91192037,5772,1091,24,68362,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.78,0.6,0.84554513,0.99551415,0.91442155,5770,1054,26,68399,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.79,0.6,0.84827992,0.99551415,0.91601842,5770,1032,26,68421,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.8,0.6,0.85232816,0.99482402,0.91807977,5766,999,30,68454,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.81,0.6,0.85521436,0.99465148,0.91967775,5765,976,31,68477,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.82,0.6,0.85899538,0.99430642,0.92171132,5763,946,33,68507,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.83,0.6,0.86203801,0.99396135,0.92331116,5761,922,35,68531,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.84,0.6,0.86536439,0.99361629,0.92506626,5759,896,37,68557,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.85,0.6,0.86896135,0.99309869,0.92689211,5756,868,40,68585,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.86,0.6,0.87228879,0.99223602,0.92840423,5751,842,45,68611,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.87,0.6,0.87780663,0.99154589,0.93121607,5747,800,49,68653,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
