---------------- TT Dataset --------------------------------------------------
Epoch 257 | loss 0.2601 | node 0.2394 | edge 0.0187 | kl 0.1041 | beta 0.0200
Epoch 258 | loss 0.2154 | node 0.1932 | edge 0.0199 | kl 0.1142 | beta 0.0200
Epoch 259 | loss 0.2564 | node 0.2334 | edge 0.0206 | kl 0.1185 | beta 0.0200
Epoch 260 | loss 0.2293 | node 0.2077 | edge 0.0193 | kl 0.1141 | beta 0.0200
Epoch 261 | loss 0.2363 | node 0.2127 | edge 0.0217 | kl 0.0941 | beta 0.0200
Epoch 262 | loss 0.2437 | node 0.2227 | edge 0.0191 | kl 0.0926 | beta 0.0200
Epoch 263 | loss 0.2423 | node 0.2210 | edge 0.0191 | kl 0.1140 | beta 0.0200
Epoch 264 | loss 0.2314 | node 0.2068 | edge 0.0227 | kl 0.0893 | beta 0.0200
Epoch 265 | loss 0.2645 | node 0.2343 | edge 0.0279 | kl 0.1159 | beta 0.0200
Epoch 266 | loss 0.2565 | node 0.2325 | edge 0.0213 | kl 0.1381 | beta 0.0200
Epoch 267 | loss 0.2238 | node 0.2017 | edge 0.0203 | kl 0.0916 | beta 0.0200
Epoch 268 | loss 0.2070 | node 0.1869 | edge 0.0183 | kl 0.0917 | beta 0.0200
Epoch 269 | loss 0.2450 | node 0.2227 | edge 0.0194 | kl 0.1404 | beta 0.0200
Epoch 270 | loss 0.2774 | node 0.2553 | edge 0.0192 | kl 0.1420 | beta 0.0200
Epoch 271 | loss 0.2972 | node 0.2732 | edge 0.0204 | kl 0.1826 | beta 0.0200
Epoch 272 | loss 0.2693 | node 0.2470 | edge 0.0193 | kl 0.1457 | beta 0.0200
